date,impressions
Sun Feb 16 19:33:00 UTC 2025,1
Sun Feb 16 20:45:00 UTC 2025,5000
Sun Feb 16 21:56:00 UTC 2025,8000
Sun Feb 16 23:17:00 UTC 2025,10000
Mon Feb 17 02:11:00 UTC 2025,15000
Mon Feb 17 06:36:00 UTC 2025,20000
Mon Feb 17 16:41:00 UTC 2025,25000
Mon Feb 17 22:04:00 UTC 2025,30000
Tue Feb 18 04:12:00 UTC 2025,35000
Tue Feb 18 22:34:00 UTC 2025,40000
Tue Feb 18 23:10:00 UTC 2025,45000
Wed Feb 19 00:26:00 UTC 2025,50000
Wed Feb 19 01:45:00 UTC 2025,55000
Wed Feb 19 04:00:00 UTC 2025,58800
Wed Feb 19 06:00:00 UTC 2025,61029

